STNAME,CTYNAME,YEAR,POPULATION,Deaths,Death Rate (%),Indicator
New York,Rockland County,2012,317201,16.0,0.005044120289658608,Control
New York,St. Lawrence County,2012,112388,0.0,0.0,Control
New York,Saratoga County,2012,222527,9.0,0.004044453032665699,Control
New York,Schenectady County,2012,155044,6.0,0.0038698691984210935,Control
New York,Schoharie County,2012,32038,6.0,0.018727760784068917,Control
New York,Schuyler County,2012,18505,6.0,0.03242366927857336,Control
New York,Seneca County,2012,35354,1.0,0.0028285342535498107,Control
New York,Steuben County,2012,98903,8.0,0.008088733405457873,Control
New York,Suffolk County,2012,1497017,287.0,0.01917145897474778,Control
New York,Sullivan County,2012,76940,12.0,0.015596568754873927,Control
New York,Tioga County,2012,50297,6.0,0.011929140903035967,Control
New York,Tompkins County,2012,102800,11.0,0.010700389105058366,Control
New York,Ulster County,2012,181555,12.0,0.006609567348737297,Control
New York,Warren County,2012,65438,1.0,0.0015281640636938781,Control
New York,Washington County,2012,63016,0.0,0.0,Control
New York,Wayne County,2012,93038,4.0,0.004299318558008556,Control
New York,Westchester County,2012,959731,95.0,0.009898607005504668,Control
New York,Wyoming County,2012,41702,5.0,0.011989832621936598,Control
New York,Yates County,2012,25341,2.0,0.007892348368256976,Control
New York,Albany County,2013,306661,29.0,0.009456696482435002,Control
New York,Allegany County,2013,47918,4.0,0.008347593806085397,Control
New York,Bronx County,2013,1421498,151.0,0.010622596725426276,Control
New York,Broome County,2013,197953,27.0,0.013639601319505135,Control
New York,Cattaraugus County,2013,79003,9.0,0.01139197245674215,Control
New York,Cayuga County,2013,79112,10.0,0.012640307412276267,Control
New York,Chautauqua County,2013,132884,13.0,0.00978296860419614,Control
New York,Chemung County,2013,88230,10.0,0.011334013374135782,Control
New York,Chenango County,2013,49489,6.0,0.012123906322617147,Control
New York,Clinton County,2013,81544,3.0,0.003678995388992446,Control
New York,Columbia County,2013,62153,1.0,0.001608932794877158,Control
New York,Cortland County,2013,48913,9.0,0.018400016355570092,Control
New York,Delaware County,2013,46806,3.0,0.006409434687860531,Control
New York,Dutchess County,2013,296292,70.0,0.023625342567467227,Control
New York,Erie County,2013,921015,131.0,0.014223438271906539,Control
New York,Essex County,2013,38610,9.0,0.023310023310023312,Control
New York,Franklin County,2013,51222,4.0,0.007809144508219124,Control
New York,Fulton County,2013,54353,4.0,0.007359299394697625,Control
New York,Genesee County,2013,59127,6.0,0.010147648282510528,Control
New York,Greene County,2013,48308,9.0,0.018630454583091826,Control
New York,Hamilton County,2013,4766,2.0,0.0419639110365086,Control
New York,Herkimer County,2013,63888,7.0,0.010956674179814675,Control
New York,Jefferson County,2013,118617,6.0,0.005058296871443385,Control
New York,Kings County,2013,2587759,188.0,0.007264973283833618,Control
New York,Lewis County,2013,27092,0.0,0.0,Control
New York,Livingston County,2013,64612,9.0,0.013929301058626881,Control
New York,Madison County,2013,72490,8.0,0.011036004966202235,Control
New York,Monroe County,2013,748456,88.0,0.011757538185277425,Control
New York,Montgomery County,2013,49754,6.0,0.01205933191301202,Control
New York,Nassau County,2013,1352355,169.0,0.012496718687031142,Control
New York,New York County,2013,1628379,175.0,0.010746883864260101,Control
New York,Niagara County,2013,214125,30.0,0.014010507880910683,Control
New York,Oneida County,2013,233370,20.0,0.008570081844281614,Control
New York,Onondaga County,2013,468302,56.0,0.011958095417059932,Control
New York,Ontario County,2013,109081,6.0,0.005500499628716275,Control
New York,Orange County,2013,374417,56.0,0.01495658583878403,Control
New York,Orleans County,2013,42233,9.0,0.02131034972651718,Control
New York,Oswego County,2013,121187,14.0,0.011552394233704936,Control
New York,Otsego County,2013,61637,1.0,0.0016224021285915927,Control
