YEAR,STNAME,CTYNAME,Death Rate (%),POPULATION,Indicator
2005,Oklahoma,Garvin County,0.014072458526996873,26864,Control
2005,Oklahoma,Grady County,0.014072458526996873,48942,Control
2005,Oklahoma,Grant County,0.014072458526996873,4656,Control
2005,Oklahoma,Greer County,0.014072458526996873,5799,Control
2005,Oklahoma,Harmon County,0.014072458526996873,2955,Control
2005,Oklahoma,Harper County,0.014072458526996873,3301,Control
2005,Oklahoma,Haskell County,0.014072458526996873,11952,Control
2005,Oklahoma,Hughes County,0.014072458526996873,13717,Control
2005,Oklahoma,Jackson County,0.014072458526996873,26471,Control
2005,Oklahoma,Jefferson County,0.014072458526996873,6375,Control
2005,Oklahoma,Johnston County,0.014072458526996873,10203,Control
2005,Oklahoma,Kay County,0.014072458526996873,46079,Control
2005,Oklahoma,Kingfisher County,0.014072458526996873,14076,Control
2005,Oklahoma,Kiowa County,0.014072458526996873,9771,Control
2005,Oklahoma,Latimer County,0.014072458526996873,10485,Control
2005,Oklahoma,Le Flore County,0.014072458526996873,48852,Control
2005,Oklahoma,Lincoln County,0.014072458526996873,31987,Control
2005,Oklahoma,Logan County,0.014072458526996873,35399,Control
2005,Oklahoma,Love County,0.014072458526996873,9028,Control
2005,Oklahoma,McClain County,0.014072458526996873,29912,Control
2005,Oklahoma,McCurtain County,0.014072458526996873,33458,Control
2005,Oklahoma,McIntosh County,0.014072458526996873,19388,Control
2005,Oklahoma,Major County,0.014072458526996873,7171,Control
2005,Oklahoma,Marshall County,0.014072458526996873,14365,Control
2005,Oklahoma,Mayes County,0.014072458526996873,39049,Control
2005,Oklahoma,Murray County,0.014072458526996873,12566,Control
2005,Oklahoma,Muskogee County,0.014072458526996873,70210,Control
2005,Oklahoma,Noble County,0.014072458526996873,11112,Control
2005,Oklahoma,Nowata County,0.014072458526996873,10621,Control
2005,Oklahoma,Okfuskee County,0.014072458526996873,11263,Control
2005,Oklahoma,Oklahoma County,0.010643400872758871,685871,Control
2005,Oklahoma,Okmulgee County,0.014072458526996873,39332,Control
2005,Oklahoma,Osage County,0.014072458526996873,44952,Control
2005,Oklahoma,Ottawa County,0.014072458526996873,32475,Control
2005,Oklahoma,Pawnee County,0.014072458526996873,16470,Control
2005,Oklahoma,Payne County,0.014072458526996873,76144,Control
2005,Oklahoma,Pittsburg County,0.014072458526996873,43910,Control
2005,Oklahoma,Pontotoc County,0.014072458526996873,35439,Control
2005,Oklahoma,Pottawatomie County,0.014072458526996873,67707,Control
