STNAME,CTYNAME,YEAR,POPULATION
Illinois,Livingston County,2002,39111
Illinois,Logan County,2002,30713
Illinois,McDonough County,2002,32813
Illinois,McHenry County,2002,278222
Illinois,McLean County,2002,155630
Illinois,Macon County,2002,111980
Illinois,Macoupin County,2002,48769
Illinois,Madison County,2002,261346
Illinois,Marion County,2002,40893
Illinois,Marshall County,2002,12941
Illinois,Mason County,2002,15851
Illinois,Massac County,2002,15103
Illinois,Menard County,2002,12473
Illinois,Mercer County,2002,16872
Illinois,Monroe County,2002,29195
Illinois,Montgomery County,2002,30440
Illinois,Morgan County,2002,36064
Illinois,Moultrie County,2002,14267
Illinois,Ogle County,2002,52138
Illinois,Peoria County,2002,182453
Illinois,Perry County,2002,22719
Illinois,Piatt County,2002,16162
Illinois,Pike County,2002,16986
Illinois,Pope County,2002,4292
Illinois,Pulaski County,2002,7083
Illinois,Putnam County,2002,6068
Illinois,Randolph County,2002,33273
Illinois,Richland County,2002,16155
Illinois,Rock Island County,2002,148140
Illinois,St. Clair County,2002,257123
Illinois,Saline County,2002,26269
Illinois,Sangamon County,2002,191486
Illinois,Schuyler County,2002,6998
Illinois,Scott County,2002,5452
Illinois,Shelby County,2002,22490
Illinois,Stark County,2002,6255
Illinois,Stephenson County,2002,48034
Illinois,Tazewell County,2002,128107
Illinois,Union County,2002,18108
Illinois,Vermilion County,2002,82909
Illinois,Wabash County,2002,12633
Illinois,Warren County,2002,18327
Illinois,Washington County,2002,15084
Illinois,Wayne County,2002,16914
Illinois,White County,2002,15100
Illinois,Whiteside County,2002,60092
Illinois,Will County,2002,555566
Illinois,Williamson County,2002,62089
Illinois,Winnebago County,2002,282572
Illinois,Woodford County,2002,35698
Illinois,Adams County,2003,67188
Illinois,Alexander County,2003,9038
Illinois,Bond County,2003,18062
Illinois,Boone County,2003,46089
Illinois,Brown County,2003,6847
Illinois,Bureau County,2003,34958
Illinois,Calhoun County,2003,5097
Illinois,Carroll County,2003,16328
Illinois,Cass County,2003,13642
Illinois,Champaign County,2003,185280
Illinois,Christian County,2003,34944
Illinois,Clark County,2003,16819
Illinois,Clay County,2003,14065
Illinois,Clinton County,2003,35839
Illinois,Coles County,2003,52337
Illinois,Cook County,2003,5330484
Illinois,Crawford County,2003,19920
Illinois,Cumberland County,2003,10912
Illinois,DeKalb County,2003,94804
Illinois,De Witt County,2003,16494
Illinois,Douglas County,2003,19729
Illinois,DuPage County,2003,920457
Illinois,Edgar County,2003,19124
Illinois,Edwards County,2003,6792
Illinois,Effingham County,2003,34422
Illinois,Fayette County,2003,21086
Illinois,Ford County,2003,14034
Illinois,Franklin County,2003,38958
Illinois,Fulton County,2003,37516
Illinois,Gallatin County,2003,6148
Illinois,Greene County,2003,14339
Illinois,Grundy County,2003,39414
Illinois,Hamilton County,2003,8318
Illinois,Hancock County,2003,19386
Illinois,Hardin County,2003,4737
Illinois,Henderson County,2003,7944
Illinois,Henry County,2003,50263
Illinois,Iroquois County,2003,30539
Illinois,Jackson County,2003,58750
Illinois,Jasper County,2003,9900
Illinois,Jefferson County,2003,40028
Illinois,Jersey County,2003,21938
Illinois,Jo Daviess County,2003,22430
