STNAME,CTYNAME,YEAR,POPULATION
Oklahoma,Choctaw County,2004,15168
Oklahoma,Cimarron County,2004,2794
Oklahoma,Cleveland County,2004,222373
Oklahoma,Coal County,2004,5836
Oklahoma,Comanche County,2004,113630
Oklahoma,Cotton County,2004,6394
Oklahoma,Craig County,2004,14815
Oklahoma,Creek County,2004,68138
Oklahoma,Custer County,2004,25339
Oklahoma,Delaware County,2004,38797
Oklahoma,Dewey County,2004,4512
Oklahoma,Ellis County,2004,3909
Oklahoma,Garfield County,2004,57169
Oklahoma,Garvin County,2004,26787
Oklahoma,Grady County,2004,47929
Oklahoma,Grant County,2004,4696
Oklahoma,Greer County,2004,5807
Oklahoma,Harmon County,2004,2939
Oklahoma,Harper County,2004,3341
Oklahoma,Haskell County,2004,11955
Oklahoma,Hughes County,2004,13762
Oklahoma,Jackson County,2004,27181
Oklahoma,Jefferson County,2004,6417
Oklahoma,Johnston County,2004,10243
Oklahoma,Kay County,2004,46590
Oklahoma,Kingfisher County,2004,13974
Oklahoma,Kiowa County,2004,9743
Oklahoma,Latimer County,2004,10515
Oklahoma,Le Flore County,2004,48618
Oklahoma,Lincoln County,2004,32062
Oklahoma,Logan County,2004,34968
Oklahoma,Love County,2004,8943
Oklahoma,McClain County,2004,29033
Oklahoma,McCurtain County,2004,33475
Oklahoma,McIntosh County,2004,19440
Oklahoma,Major County,2004,7256
Oklahoma,Marshall County,2004,13901
Oklahoma,Mayes County,2004,38843
Oklahoma,Murray County,2004,12500
Oklahoma,Muskogee County,2004,69903
Oklahoma,Noble County,2004,11179
Oklahoma,Nowata County,2004,10595
Oklahoma,Okfuskee County,2004,11436
Oklahoma,Oklahoma County,2004,679913
Oklahoma,Okmulgee County,2004,39548
Oklahoma,Osage County,2004,44773
Oklahoma,Ottawa County,2004,32388
Oklahoma,Pawnee County,2004,16472
Oklahoma,Payne County,2004,76044
Oklahoma,Pittsburg County,2004,43639
Oklahoma,Pontotoc County,2004,35234
Oklahoma,Pottawatomie County,2004,67405
Oklahoma,Pushmataha County,2004,11559
Oklahoma,Roger Mills County,2004,3212
Oklahoma,Rogers County,2004,78565
Oklahoma,Seminole County,2004,24180
Oklahoma,Sequoyah County,2004,40064
Oklahoma,Stephens County,2004,42446
Oklahoma,Texas County,2004,20198
Oklahoma,Tillman County,2004,8587
Oklahoma,Tulsa County,2004,567695
Oklahoma,Wagoner County,2004,61981
Oklahoma,Washington County,2004,48890
Oklahoma,Washita County,2004,11234
Oklahoma,Woods County,2004,8566
Oklahoma,Woodward County,2004,18720
Oklahoma,Adair County,2005,21599
Oklahoma,Alfalfa County,2005,5656
Oklahoma,Atoka County,2005,14288
Oklahoma,Beaver County,2005,5403
Oklahoma,Beckham County,2005,18630
Oklahoma,Blaine County,2005,12748
Oklahoma,Bryan County,2005,37658
Oklahoma,Caddo County,2005,29689
Oklahoma,Canadian County,2005,97147
Oklahoma,Carter County,2005,46632
Oklahoma,Cherokee County,2005,44408
Oklahoma,Choctaw County,2005,15087
Oklahoma,Cimarron County,2005,2708
Oklahoma,Cleveland County,2005,225835
Oklahoma,Coal County,2005,5690
Oklahoma,Comanche County,2005,111866
Oklahoma,Cotton County,2005,6449
Oklahoma,Craig County,2005,14995
Oklahoma,Creek County,2005,68059
Oklahoma,Custer County,2005,25501
Oklahoma,Delaware County,2005,38980
Oklahoma,Dewey County,2005,4398
Oklahoma,Ellis County,2005,3870
Oklahoma,Garfield County,2005,56940
Oklahoma,Garvin County,2005,26864
Oklahoma,Grady County,2005,48942
Oklahoma,Grant County,2005,4656
Oklahoma,Greer County,2005,5799
Oklahoma,Harmon County,2005,2955
Oklahoma,Harper County,2005,3301
Oklahoma,Haskell County,2005,11952
Oklahoma,Hughes County,2005,13717
Oklahoma,Jackson County,2005,26471
Oklahoma,Jefferson County,2005,6375
Oklahoma,Johnston County,2005,10203
Oklahoma,Kay County,2005,46079
Oklahoma,Kingfisher County,2005,14076
Oklahoma,Kiowa County,2005,9771
Oklahoma,Latimer County,2005,10485
Oklahoma,Le Flore County,2005,48852
