STNAME,CTYNAME,YEAR,POPULATION,Deaths,Death Rate (%),Indicator
Colorado,Adams County,2003,378785,42.0,0.011088084269440447,Control
Colorado,Alamosa County,2003,15125,1.0,0.006611570247933884,Control
Colorado,Arapahoe County,2003,514406,45.0,0.008747953950770403,Control
Colorado,Archuleta County,2003,11167,2.0,0.017909913136921286,Control
Colorado,Baca County,2003,4106,5.0,0.12177301509985387,Control
Colorado,Bent County,2003,6144,1.0,0.016276041666666668,Control
Colorado,Boulder County,2003,282126,20.0,0.007089031142113808,Control
Colorado,Broomfield County,2003,45098,1.0,0.0022173932325158545,Control
Colorado,Chaffee County,2003,16678,6.0,0.03597553663508814,Control
Colorado,Cheyenne County,2003,1986,3.0,0.1510574018126888,Control
Colorado,Clear Creek County,2003,9335,4.0,0.04284949116229245,Control
Colorado,Conejos County,2003,8220,1.0,0.012165450121654502,Control
Colorado,Costilla County,2003,3522,1.0,0.028392958546280524,Control
Colorado,Crowley County,2003,5627,0.0,0.0,Control
Colorado,Custer County,2003,3794,2.0,0.05271481286241434,Control
Colorado,Delta County,2003,28988,2.0,0.006899406651028011,Control
Colorado,Denver County,2003,558351,107.0,0.019163572734713467,Control
Colorado,Dolores County,2003,1802,4.0,0.22197558268590456,Control
Colorado,Douglas County,2003,221978,4.0,0.0018019803764337007,Control
Colorado,Eagle County,2003,45312,7.0,0.015448446327683616,Control
Colorado,Elbert County,2003,21953,1.0,0.004555186079351342,Control
Colorado,El Paso County,2003,551129,53.0,0.009616623331379767,Control
Colorado,Fremont County,2003,47108,6.0,0.012736690158784071,Control
Colorado,Garfield County,2003,47388,7.0,0.014771672153287752,Control
Colorado,Gilpin County,2003,4867,8.0,0.16437230326689953,Control
Colorado,Grand County,2003,13017,2.0,0.015364523315664132,Control
Colorado,Gunnison County,2003,14254,8.0,0.0561245966044619,Control
Colorado,Hinsdale County,2003,777,1.0,0.1287001287001287,Control
Colorado,Huerfano County,2003,7934,1.0,0.012603982858583312,Control
Colorado,Jackson County,2003,1494,7.0,0.4685408299866131,Control
Colorado,Jefferson County,2003,526426,50.0,0.009498011116472211,Control
Colorado,Kiowa County,2003,1452,7.0,0.4820936639118457,Control
Colorado,Kit Carson County,2003,8072,7.0,0.0867195242814668,Control
Colorado,Lake County,2003,7691,0.0,0.0,Control
Colorado,La Plata County,2003,46258,0.0,0.0,Control
Colorado,Larimer County,2003,268671,23.0,0.00856065596956873,Control
Colorado,Las Animas County,2003,15720,2.0,0.01272264631043257,Control
Colorado,Lincoln County,2003,5786,3.0,0.05184929139301763,Control
Colorado,Logan County,2003,21286,7.0,0.03288546462463591,Control
Colorado,Mesa County,2003,124510,3.0,0.002409445024496024,Control
Colorado,Mineral County,2003,894,9.0,1.0067114093959733,Control
Colorado,Moffat County,2003,13245,6.0,0.045300113250283124,Control
Colorado,Montezuma County,2003,24239,8.0,0.033004661908494576,Control
Colorado,Montrose County,2003,35674,9.0,0.025228457700285922,Control
Colorado,Morgan County,2003,27634,6.0,0.021712383295939785,Control
Colorado,Otero County,2003,19546,6.0,0.030696817763225213,Control
Colorado,Ouray County,2003,3941,7.0,0.17761989342806395,Control
Colorado,Park County,2003,16242,7.0,0.04309814062307597,Control
Colorado,Phillips County,2003,4449,8.0,0.17981568891885816,Control
Colorado,Pitkin County,2003,14923,5.0,0.03350532734704818,Control
Colorado,Prowers County,2003,13992,6.0,0.04288164665523156,Control
Colorado,Pueblo County,2003,147931,10.0,0.0067599083356429685,Control
Colorado,Rio Blanco County,2003,5859,3.0,0.051203277009728626,Control
Colorado,Rio Grande County,2003,12192,5.0,0.04101049868766404,Control
Colorado,Routt County,2003,20833,4.0,0.01920030720491528,Control
Colorado,Saguache County,2003,6590,1.0,0.015174506828528073,Control
Colorado,San Juan County,2003,572,4.0,0.6993006993006993,Control
Colorado,San Miguel County,2003,7121,8.0,0.11234377194214296,Control
Colorado,Sedgwick County,2003,2620,0.0,0.0,Control
Colorado,Summit County,2003,25313,7.0,0.027653774740252043,Control
Colorado,Teller County,2003,21270,2.0,0.009402914903620122,Control
Colorado,Washington County,2003,4890,4.0,0.081799591002045,Control
Colorado,Weld County,2003,210635,11.0,0.005222303985567451,Control
Colorado,Yuma County,2003,9827,1.0,0.010176045588684237,Control
Colorado,Adams County,2004,386663,46.0,0.01189666453733613,Control
Colorado,Alamosa County,2004,15293,8.0,0.05231151507225528,Control
Colorado,Arapahoe County,2004,519785,65.0,0.0125051704069952,Control
Colorado,Archuleta County,2004,11374,3.0,0.026375945138034113,Control
Colorado,Baca County,2004,4050,0.0,0.0,Control
Colorado,Bent County,2004,6195,3.0,0.048426150121065374,Control
Colorado,Boulder County,2004,284815,20.0,0.007022102066253533,Control
Colorado,Broomfield County,2004,46591,5.0,0.010731686377197312,Control
Colorado,Chaffee County,2004,16725,9.0,0.053811659192825115,Control
Colorado,Cheyenne County,2004,1932,5.0,0.2587991718426501,Control
Colorado,Clear Creek County,2004,9048,5.0,0.05526083112290009,Control
