BUYER_STATE,BUYER_COUNTY,YEAR,MME
FL,GILCHRIST,2009,6117871.9913625
FL,GILCHRIST,2010,5760958.282725
FL,GILCHRIST,2011,5709070.005
FL,GILCHRIST,2012,5469281.2125
FL,GILCHRIST,2013,5425277.6893125
FL,GILCHRIST,2014,5756225.8988625
FL,GLADES,2009,2627311.2
FL,GLADES,2010,6489442.05
FL,GLADES,2011,4646468.1
FL,GLADES,2012,1898209.5
FL,GLADES,2013,922494.225
FL,GLADES,2014,924516.6
FL,GULF,2006,3543341.616
FL,GULF,2007,3813947.766
FL,GULF,2008,3573714.215
FL,GULF,2009,3494621.7075
FL,GULF,2010,4311716.25
FL,GULF,2011,3866418.2025
FL,GULF,2012,4012652.9025
FL,GULF,2013,4059841.1625
FL,GULF,2014,4576927.725
FL,HAMILTON,2006,1804899.5505000001
FL,HAMILTON,2007,2249353.0935
FL,HAMILTON,2008,3039991.791
FL,HAMILTON,2009,2305155.3525
FL,HAMILTON,2010,3470682.8288625
FL,HAMILTON,2011,3033594.8775
FL,HAMILTON,2012,2549667.4875
FL,HAMILTON,2013,2919704.175
FL,HAMILTON,2014,2018258.1375
FL,HARDEE,2006,3682568.105
FL,HARDEE,2007,3996159.5725000002
FL,HARDEE,2008,4647926.0445
FL,HARDEE,2009,7751621.3925
FL,HARDEE,2010,8867193.39
FL,HARDEE,2011,9282533.205
FL,HARDEE,2012,7940830.0613625
FL,HARDEE,2013,6785162.160225
FL,HARDEE,2014,6878260.0575
FL,HENDRY,2006,16527160.2825
FL,HENDRY,2007,19191329.0120875
FL,HENDRY,2008,20998036.911
FL,HENDRY,2009,22472576.881575
FL,HENDRY,2010,27617015.31
FL,HENDRY,2011,26953096.2488625
FL,HENDRY,2012,19653150.1875
FL,HENDRY,2013,15997448.557500001
FL,HENDRY,2014,15226436.2875
FL,HERNANDO,2006,78727927.57445
FL,HERNANDO,2007,111241430.896115
FL,HERNANDO,2008,197158775.3677125
FL,HERNANDO,2009,245050015.9472625
FL,HERNANDO,2010,331289829.9954375
FL,HERNANDO,2011,239292429.870675
FL,HERNANDO,2012,163153660.2901875
FL,HERNANDO,2013,106870300.3452
FL,HERNANDO,2014,106691617.0340625
FL,HIGHLANDS,2006,22995715.2225
FL,HIGHLANDS,2007,24466187.28794
FL,HIGHLANDS,2008,28613962.2635
FL,HIGHLANDS,2009,33721288.500675
FL,HIGHLANDS,2010,45729843.5743125
FL,HIGHLANDS,2011,54161629.2645375
FL,HIGHLANDS,2012,41042597.9634
FL,HIGHLANDS,2013,41015340.091125004
FL,HIGHLANDS,2014,43899834.435
FL,HILLSBOROUGH,2006,1027723784.987175
FL,HILLSBOROUGH,2007,1189548966.7853
FL,HILLSBOROUGH,2008,1507903618.6257374
FL,HILLSBOROUGH,2009,2124149030.8509376
FL,HILLSBOROUGH,2010,2801560611.0110626
FL,HILLSBOROUGH,2011,1533314549.9512875
FL,HILLSBOROUGH,2012,855609666.484125
FL,HILLSBOROUGH,2013,603016245.9751126
FL,HILLSBOROUGH,2014,571734330.190275
FL,HOLMES,2006,5115280.07
FL,HOLMES,2007,5388630.6392250005
FL,HOLMES,2008,5350438.7895875005
FL,HOLMES,2009,5461291.74045
FL,HOLMES,2010,5004425.7040875
FL,HOLMES,2011,5188443.8663625
FL,HOLMES,2012,5462597.16
FL,HOLMES,2013,5746814.205
FL,HOLMES,2014,6324595.267725
FL,INDIAN RIVER,2006,43237351.0817625
FL,INDIAN RIVER,2007,51702138.7888875
FL,INDIAN RIVER,2008,64186802.972625
FL,INDIAN RIVER,2009,79226077.11930001
FL,INDIAN RIVER,2010,111822904.7092875
FL,INDIAN RIVER,2011,141158729.6086125
FL,INDIAN RIVER,2012,98923324.2856125
FL,INDIAN RIVER,2013,80519769.677925
FL,INDIAN RIVER,2014,80728537.488825
FL,JACKSON,2006,9866875.3375
FL,JACKSON,2007,11355734.5475
FL,JACKSON,2008,12130103.3215
FL,JACKSON,2009,13341586.8375
FL,JACKSON,2010,14859564.825
FL,JACKSON,2011,16484638.485
FL,JACKSON,2012,17427980.37
FL,JACKSON,2013,18002403.6825
FL,JACKSON,2014,19799410.62
FL,JEFFERSON,2006,1465484.9205
FL,JEFFERSON,2007,1732034.337
FL,JEFFERSON,2008,2123425.9035
FL,JEFFERSON,2009,2413278.4838625
FL,JEFFERSON,2010,2637125.0175
FL,JEFFERSON,2011,2823451.935
FL,JEFFERSON,2012,2213915.52
FL,JEFFERSON,2013,2328158.7525
FL,JEFFERSON,2014,2249754.945
FL,LAFAYETTE,2006,1215701.375
FL,LAFAYETTE,2007,1355772.4875
FL,LAFAYETTE,2008,1361092.75
FL,LAFAYETTE,2009,1257662.175
FL,LAFAYETTE,2010,1363409.2875
FL,LAFAYETTE,2011,1307105.1675
FL,LAFAYETTE,2012,1295000.2725
FL,LAFAYETTE,2013,1526557.44
FL,LAFAYETTE,2014,1692459.9375
FL,LAKE,2006,64563419.322425
FL,LAKE,2007,82180027.331575
FL,LAKE,2008,103711049.27070001
FL,LAKE,2009,140752498.570875
FL,LAKE,2010,177229262.6611125
FL,LAKE,2011,179071465.3870125
FL,LAKE,2012,156520697.7751875
FL,LAKE,2013,131946262.7842875
FL,LAKE,2014,135035837.7508875
FL,LEE,2006,309886706.744275
FL,LEE,2007,295673263.5694625
FL,LEE,2008,340668929.5272875
FL,LEE,2009,439929930.9884625
FL,LEE,2010,680132832.8028375
FL,LEE,2011,587055726.8651625
FL,LEE,2012,272161035.700275
FL,LEE,2013,230207071.4342625
FL,LEE,2014,232331003.958825
FL,LEON,2006,43067639.041725
FL,LEON,2007,47083400.8203125
FL,LEON,2008,51120250.0932625
FL,LEON,2009,55928522.419125
FL,LEON,2010,56268735.998175
FL,LEON,2011,58086072.97545
FL,LEON,2012,61292559.1104375
FL,LEON,2013,64967949.102037504
FL,LEON,2014,65674171.0090875
FL,LEVY,2006,18659653.543
FL,LEVY,2007,22313800.503725
FL,LEVY,2008,28379512.6129
FL,LEVY,2009,33730549.8909
FL,LEVY,2010,36649652.3859
FL,LEVY,2011,36064200.5815875
FL,LEVY,2012,28221149.4318
FL,LEVY,2013,22913388.682725
FL,LEVY,2014,23927746.9425
FL,LIBERTY,2006,628449.8325
FL,LIBERTY,2007,738323.0205
FL,LIBERTY,2008,771974.0625
FL,LIBERTY,2009,686362.8
FL,LIBERTY,2010,1141644.3375000001
FL,LIBERTY,2011,821881.8
FL,LIBERTY,2012,764579.25
FL,LIBERTY,2013,677714.175
FL,LIBERTY,2014,676237.125
FL,MADISON,2006,2315633.3313625003
FL,MADISON,2007,2632527.3742250004
FL,MADISON,2008,2793881.2853625
FL,MADISON,2009,3389453.2243125
FL,MADISON,2010,4027763.5125
FL,MADISON,2011,4642083.6525
FL,MADISON,2012,4504777.44
FL,MADISON,2013,4419604.5825000005
FL,MADISON,2014,4195258.32
FL,MANATEE,2006,150205643.6956125
FL,MANATEE,2007,172443214.15869
FL,MANATEE,2008,196741843.14975
FL,MANATEE,2009,228282899.9302125
FL,MANATEE,2010,360934683.90885
FL,MANATEE,2011,326820055.0758375
FL,MANATEE,2012,219299738.61375
FL,MANATEE,2013,165661594.3610625
FL,MANATEE,2014,162965668.0010625
FL,MARION,2006,114208975.8543875
FL,MARION,2007,140167108.3894625
FL,MARION,2008,160020950.8733625
FL,MARION,2009,177998098.0790625
FL,MARION,2010,216686240.8516875
FL,MARION,2011,209503198.548825
FL,MARION,2012,175709775.3719625
FL,MARION,2013,148153828.12608752
FL,MARION,2014,152057413.5745125
FL,MARTIN,2006,68573128.7873625
FL,MARTIN,2007,77097869.3673125
FL,MARTIN,2008,99157779.642725
FL,MARTIN,2009,121781256.5109
FL,MARTIN,2010,149894562.48135
FL,MARTIN,2011,137044596.4252125
FL,MARTIN,2012,85087552.6195125
FL,MARTIN,2013,67129266.2933625
FL,MARTIN,2014,56253306.2899875
FL,MIAMI-DADE,2006,303039718.08595
FL,MIAMI-DADE,2007,373495881.19885
FL,MIAMI-DADE,2008,519536806.5603875
FL,MIAMI-DADE,2009,801945146.0798625
FL,MIAMI-DADE,2010,1242761206.9214625
FL,MIAMI-DADE,2011,1070607759.4413
FL,MIAMI-DADE,2012,503313857.81025
FL,MIAMI-DADE,2013,383705261.9265
FL,MIAMI-DADE,2014,340208755.417875
FL,MONROE,2006,42203180.115725
FL,MONROE,2007,46281924.684225
FL,MONROE,2008,53446096.2143625
FL,MONROE,2009,71369629.9695375
FL,MONROE,2010,77309966.575425
FL,MONROE,2011,71118776.762475
FL,MONROE,2012,47813946.58245
FL,MONROE,2013,32057713.5913125
FL,MONROE,2014,34053031.5238125
FL,NASSAU,2006,26318179.4413125
FL,NASSAU,2007,30364848.846725002
FL,NASSAU,2008,38339252.757
FL,NASSAU,2009,45514900.995
FL,NASSAU,2010,55038318.1468125
FL,NASSAU,2011,64563827.895675
FL,NASSAU,2012,60370367.055675
FL,NASSAU,2013,50940822.592725
FL,NASSAU,2014,52757316.1315875
FL,OKALOOSA,2006,51768878.54175
FL,OKALOOSA,2007,51948686.9043375
FL,OKALOOSA,2008,53881856.7003125
FL,OKALOOSA,2009,58085786.8360875
FL,OKALOOSA,2010,61460166.82545
FL,OKALOOSA,2011,63730010.400675
FL,OKALOOSA,2012,64457984.9233875
FL,OKALOOSA,2013,64439706.06225
FL,OKALOOSA,2014,69639841.952475
FL,OKEECHOBEE,2006,20628537.5353125
FL,OKEECHOBEE,2007,24923110.1409
FL,OKEECHOBEE,2008,29189020.214925
FL,OKEECHOBEE,2009,35903960.5693125
FL,OKEECHOBEE,2010,55324330.29045
FL,OKEECHOBEE,2011,49274623.406812504
FL,OKEECHOBEE,2012,32380212.79635
FL,OKEECHOBEE,2013,27647723.0295375
FL,OKEECHOBEE,2014,28649255.43045
FL,ORANGE,2006,249616181.3477375
FL,ORANGE,2007,305170616.443275
FL,ORANGE,2008,483055087.5378
FL,ORANGE,2009,688873467.0696375
FL,ORANGE,2010,1118030476.755375
FL,ORANGE,2011,879529746.1212375
FL,ORANGE,2012,536535590.4659625
FL,ORANGE,2013,354127349.3149875
FL,ORANGE,2014,299874378.27015
FL,OSCEOLA,2006,50817721.9688125
FL,OSCEOLA,2007,64095232.3279875
FL,OSCEOLA,2008,93117015.4062625
FL,OSCEOLA,2009,225661792.62585
FL,OSCEOLA,2010,289370503.4899875
FL,OSCEOLA,2011,188818988.528625
FL,OSCEOLA,2012,126453885.42135
FL,OSCEOLA,2013,83338791.3234
FL,OSCEOLA,2014,79516219.5268125
FL,PALM BEACH,2006,645319179.4898375
FL,PALM BEACH,2007,924515014.484675
FL,PALM BEACH,2008,1334354383.1702626
FL,PALM BEACH,2009,1813924772.778675
FL,PALM BEACH,2010,1897698565.872
FL,PALM BEACH,2011,1063694692.98135
FL,PALM BEACH,2012,625882092.60765
FL,PALM BEACH,2013,479352163.43932503
FL,PALM BEACH,2014,453221588.0313375
FL,PASCO,2006,268426053.3706625
FL,PASCO,2007,356094008.8700125
FL,PASCO,2008,494709084.4496125
FL,PASCO,2009,561319165.481925
FL,PASCO,2010,761605810.557225
FL,PASCO,2011,678130651.9053375
FL,PASCO,2012,345632155.1611875
FL,PASCO,2013,255074032.36515
FL,PASCO,2014,234128847.3229125
FL,PINELLAS,2006,607000751.4848
FL,PINELLAS,2007,636336297.667465
FL,PINELLAS,2008,933646569.568775
FL,PINELLAS,2009,1035506557.2697124
FL,PINELLAS,2010,1438059342.3179624
FL,PINELLAS,2011,1262519967.3723376
FL,PINELLAS,2012,687164807.2971375
FL,PINELLAS,2013,528188009.235075
FL,PINELLAS,2014,495677590.4523375
FL,POLK,2006,178941780.43742502
FL,POLK,2007,170075524.03268752
FL,POLK,2008,171113176.12785
FL,POLK,2009,198919970.26203752
FL,POLK,2010,285711952.307025
FL,POLK,2011,281211844.4758875
FL,POLK,2012,232197599.44455
FL,POLK,2013,196902827.694525
FL,POLK,2014,195882909.2763375
FL,PUTNAM,2006,38637502.9733875
FL,PUTNAM,2007,39640180.5800125
FL,PUTNAM,2008,45305651.0537625
FL,PUTNAM,2009,71246098.5103875
FL,PUTNAM,2010,97258920.6485625
FL,PUTNAM,2011,96933599.392875
FL,PUTNAM,2012,58549293.5254125
FL,PUTNAM,2013,46287274.538175
FL,PUTNAM,2014,42869242.3988625
FL,SAINT JOHNS,2006,43666083.525725
FL,SAINT JOHNS,2007,49616909.3549
FL,SAINT JOHNS,2008,56641758.2135375
FL,SAINT JOHNS,2009,75312165.584475
FL,SAINT JOHNS,2010,113272685.6979375
FL,SAINT JOHNS,2011,92067248.57385
FL,SAINT JOHNS,2012,72420257.82135
FL,SAINT JOHNS,2013,67005482.35725
FL,SAINT JOHNS,2014,66076969.0743
FL,SAINT LUCIE,2006,95970453.4293625
FL,SAINT LUCIE,2007,112422714.204925
FL,SAINT LUCIE,2008,139178022.489225
FL,SAINT LUCIE,2009,166843139.3083875
FL,SAINT LUCIE,2010,212293299.6272625
FL,SAINT LUCIE,2011,273106061.207925
FL,SAINT LUCIE,2012,143969899.797225
FL,SAINT LUCIE,2013,94475075.1674625
