STNAME,CTYNAME,YEAR,POPULATION,BUYER_COUNTY_x,BUYER_STATE_x,FIPS Code,State_x,BUYER_STATE_y,BUYER_COUNTY_y,MME,State_y
Arizona,MARICOPA,2008,3958263,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,1380488248.948425,Arizona
Arizona,MARICOPA,2009,4023132,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,1629777931.2170625,Arizona
Arizona,MARICOPA,2010,3825183,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,1784577100.201575,Arizona
Arizona,MARICOPA,2011,3875371,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,1989036715.2093,Arizona
Arizona,MARICOPA,2012,3948165,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,2096280142.926788,Arizona
Arizona,MARICOPA,2013,4018657,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,2049540286.153725,Arizona
Arizona,MARICOPA,2014,4094842,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,2114214074.4040124,Arizona
Arizona,MOHAVE,2006,192724,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,86907833.21935,Arizona
Arizona,MOHAVE,2007,195852,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,107756985.0552125,Arizona
Arizona,MOHAVE,2008,195601,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,129104758.2622875,Arizona
Arizona,MOHAVE,2009,194825,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,140256831.3987,Arizona
Arizona,MOHAVE,2010,200336,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,149743634.03325,Arizona
Arizona,MOHAVE,2011,202888,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,174326073.0376125,Arizona
Arizona,MOHAVE,2012,203484,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,190143758.442075,Arizona
Arizona,MOHAVE,2013,203322,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,184079185.813275,Arizona
Arizona,MOHAVE,2014,203670,MOHAVE,AZ,4015,Arizona,AZ,MOHAVE,185289672.0512625,Arizona
Arizona,NAVAJO,2006,109000,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,22462061.395037506,Arizona
Arizona,NAVAJO,2007,110999,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,26295310.266025,Arizona
Arizona,NAVAJO,2008,112348,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,29720362.620837502,Arizona
Arizona,NAVAJO,2009,112975,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,32246978.6172375,Arizona
Arizona,NAVAJO,2010,107693,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,32063725.4911125,Arizona
Arizona,NAVAJO,2011,107560,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,36212987.6158875,Arizona
Arizona,NAVAJO,2012,107334,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,40969740.5014875,Arizona
Arizona,NAVAJO,2013,107164,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,46001419.6158375,Arizona
Arizona,NAVAJO,2014,107741,NAVAJO,AZ,4017,Arizona,AZ,NAVAJO,49893247.3535625,Arizona
Arizona,PIMA,2006,975476,PIMA,AZ,4019,Arizona,AZ,PIMA,423408970.3601375,Arizona
Arizona,PIMA,2007,996593,PIMA,AZ,4019,Arizona,AZ,PIMA,487865064.144,Arizona
Arizona,PIMA,2008,1009832,PIMA,AZ,4019,Arizona,AZ,PIMA,551950812.921975,Arizona
Arizona,PIMA,2009,1020200,PIMA,AZ,4019,Arizona,AZ,PIMA,599141920.0165125,Arizona
Arizona,PIMA,2010,981649,PIMA,AZ,4019,Arizona,AZ,PIMA,629763958.2411,Arizona
Arizona,PIMA,2011,988500,PIMA,AZ,4019,Arizona,AZ,PIMA,723483049.206225,Arizona
Arizona,PIMA,2012,993231,PIMA,AZ,4019,Arizona,AZ,PIMA,785873316.23355,Arizona
Arizona,PIMA,2013,997374,PIMA,AZ,4019,Arizona,AZ,PIMA,637355161.4844375,Arizona
Arizona,PIMA,2014,1004521,PIMA,AZ,4019,Arizona,AZ,PIMA,585927326.5008,Arizona
Arizona,PINAL,2006,270453,PINAL,AZ,4021,Arizona,AZ,PINAL,70967163.0568375,Arizona
Arizona,PINAL,2007,302633,PINAL,AZ,4021,Arizona,AZ,PINAL,81812755.62460001,Arizona
Arizona,PINAL,2008,329060,PINAL,AZ,4021,Arizona,AZ,PINAL,85899390.2579875,Arizona
Arizona,PINAL,2009,340962,PINAL,AZ,4021,Arizona,AZ,PINAL,90957004.5106125,Arizona
Arizona,PINAL,2010,379106,PINAL,AZ,4021,Arizona,AZ,PINAL,107829062.1315375,Arizona
Arizona,PINAL,2011,378114,PINAL,AZ,4021,Arizona,AZ,PINAL,134011183.3751625,Arizona
Arizona,PINAL,2012,382371,PINAL,AZ,4021,Arizona,AZ,PINAL,138992054.8089375,Arizona
Arizona,PINAL,2013,385574,PINAL,AZ,4021,Arizona,AZ,PINAL,143488904.4598125,Arizona
Arizona,PINAL,2014,395563,PINAL,AZ,4021,Arizona,AZ,PINAL,160531604.90373752,Arizona
Arizona,SANTA CRUZ,2006,42040,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,5018852.5875,Arizona
Arizona,SANTA CRUZ,2007,42692,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,4826517.066,Arizona
Arizona,SANTA CRUZ,2008,43133,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,5268527.0715,Arizona
Arizona,SANTA CRUZ,2009,43771,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,5260041.4540875,Arizona
Arizona,SANTA CRUZ,2010,47402,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,5680984.66545,Arizona
Arizona,SANTA CRUZ,2011,47640,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,5879814.585,Arizona
Arizona,SANTA CRUZ,2012,47330,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,8705488.2975,Arizona
Arizona,SANTA CRUZ,2013,46902,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,11228715.382725,Arizona
Arizona,SANTA CRUZ,2014,46596,SANTA CRUZ,AZ,4023,Arizona,AZ,SANTA CRUZ,8931089.6775,Arizona
Arizona,YAVAPAI,2006,206672,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,71430087.851725,Arizona
Arizona,YAVAPAI,2007,212004,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,80612080.0231125,Arizona
Arizona,YAVAPAI,2008,214930,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,84208443.1367625,Arizona
Arizona,YAVAPAI,2009,215686,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,94923632.5864125,Arizona
