STNAME,CTYNAME,YEAR,POPULATION
New York,Lewis County,2002,26411
New York,Livingston County,2002,64194
New York,Madison County,2002,69491
New York,Monroe County,2002,738876
New York,Montgomery County,2002,49006
New York,Nassau County,2002,1349668
New York,New York County,2002,1567241
New York,Niagara County,2002,217723
New York,Oneida County,2002,233014
New York,Onondaga County,2002,457085
New York,Ontario County,2002,101539
New York,Orange County,2002,355221
New York,Orleans County,2002,43399
New York,Oswego County,2002,122278
New York,Otsego County,2002,61776
New York,Putnam County,2002,98187
New York,Queens County,2002,2239457
New York,Rensselaer County,2002,152206
New York,Richmond County,2002,460386
New York,Rockland County,2002,290035
New York,St. Lawrence County,2002,110686
New York,Saratoga County,2002,206672
New York,Schenectady County,2002,146612
New York,Schoharie County,2002,31618
New York,Schuyler County,2002,19268
New York,Seneca County,2002,34730
New York,Steuben County,2002,98996
New York,Suffolk County,2002,1468240
New York,Sullivan County,2002,74063
New York,Tioga County,2002,51576
New York,Tompkins County,2002,98393
New York,Ulster County,2002,179721
New York,Warren County,2002,63979
New York,Washington County,2002,61022
New York,Wayne County,2002,93112
New York,Westchester County,2002,941747
New York,Wyoming County,2002,42791
New York,Yates County,2002,24505
New York,Albany County,2003,298491
New York,Allegany County,2003,50220
New York,Bronx County,2003,1353712
New York,Broome County,2003,198364
New York,Cattaraugus County,2003,82968
New York,Cayuga County,2003,81073
New York,Chautauqua County,2003,136904
New York,Chemung County,2003,89816
New York,Chenango County,2003,51254
New York,Clinton County,2003,81066
New York,Columbia County,2003,62782
New York,Cortland County,2003,48802
New York,Delaware County,2003,47011
New York,Dutchess County,2003,289088
New York,Erie County,2003,936931
New York,Essex County,2003,38626
New York,Franklin County,2003,50654
New York,Fulton County,2003,54881
New York,Genesee County,2003,59506
New York,Greene County,2003,48361
New York,Hamilton County,2003,5207
New York,Herkimer County,2003,63208
New York,Jefferson County,2003,113353
New York,Kings County,2003,2483164
New York,Lewis County,2003,26353
New York,Livingston County,2003,63880
New York,Madison County,2003,69828
New York,Monroe County,2003,737420
New York,Montgomery County,2003,48938
New York,Nassau County,2003,1353565
New York,New York County,2003,1578815
New York,Niagara County,2003,217281
New York,Oneida County,2003,232578
New York,Onondaga County,2003,457139
New York,Ontario County,2003,102119
New York,Orange County,2003,362609
New York,Orleans County,2003,43201
New York,Oswego County,2003,122712
New York,Otsego County,2003,62126
New York,Putnam County,2003,98738
New York,Queens County,2003,2244238
New York,Rensselaer County,2003,152881
New York,Richmond County,2003,466789
New York,Rockland County,2003,290614
New York,St. Lawrence County,2003,110381
New York,Saratoga County,2003,209711
New York,Schenectady County,2003,146967
New York,Schoharie County,2003,31691
New York,Schuyler County,2003,19261
New York,Seneca County,2003,34712
New York,Steuben County,2003,98253
New York,Suffolk County,2003,1486783
New York,Sullivan County,2003,74774
New York,Tioga County,2003,51281
New York,Tompkins County,2003,99203
New York,Ulster County,2003,180223
New York,Warren County,2003,64490
New York,Washington County,2003,61374
New York,Wayne County,2003,93054
New York,Westchester County,2003,944440
New York,Wyoming County,2003,42636
New York,Yates County,2003,24601
New York,Albany County,2004,298819
New York,Allegany County,2004,50397
New York,Bronx County,2004,1359139
New York,Broome County,2004,197463
New York,Cattaraugus County,2004,82366
New York,Cayuga County,2004,80843
New York,Chautauqua County,2004,136273
New York,Chemung County,2004,89366
New York,Chenango County,2004,51113
New York,Clinton County,2004,81380
New York,Columbia County,2004,62933
New York,Cortland County,2004,48780
New York,Delaware County,2004,47055
New York,Dutchess County,2004,290637
New York,Erie County,2004,932002
New York,Essex County,2004,38389
New York,Franklin County,2004,50427
New York,Fulton County,2004,54976
New York,Genesee County,2004,59096
New York,Greene County,2004,48630
New York,Hamilton County,2004,5188
New York,Herkimer County,2004,63198
New York,Jefferson County,2004,114424
New York,Kings County,2004,2497859
New York,Lewis County,2004,26219
New York,Livingston County,2004,63941
New York,Madison County,2004,69855
New York,Monroe County,2004,735691
New York,Montgomery County,2004,48768
New York,Nassau County,2004,1356589
New York,New York County,2004,1590911
New York,Niagara County,2004,216712
New York,Oneida County,2004,232484
New York,Onondaga County,2004,456432
New York,Ontario County,2004,102656
New York,Orange County,2004,367562
New York,Orleans County,2004,43119
New York,Oswego County,2004,122802
New York,Otsego County,2004,62426
New York,Putnam County,2004,99204
New York,Queens County,2004,2250718
New York,Rensselaer County,2004,153791
New York,Richmond County,2004,471313
New York,Rockland County,2004,292625
New York,St. Lawrence County,2004,110224
New York,Saratoga County,2004,211745
New York,Schenectady County,2004,147707
New York,Schoharie County,2004,31866
New York,Schuyler County,2004,19176
New York,Seneca County,2004,34640
New York,Steuben County,2004,97735
New York,Suffolk County,2004,1499838
New York,Sullivan County,2004,75351
New York,Tioga County,2004,50874
New York,Tompkins County,2004,99747
New York,Ulster County,2004,180950
New York,Warren County,2004,64741
New York,Washington County,2004,61979
New York,Wayne County,2004,92612
New York,Westchester County,2004,947121
New York,Wyoming County,2004,42439
New York,Yates County,2004,24617
New York,Albany County,2005,298605
New York,Allegany County,2005,49824
New York,Bronx County,2005,1364566
New York,Broome County,2005,196103
New York,Cattaraugus County,2005,81389
New York,Cayuga County,2005,80532
New York,Chautauqua County,2005,134998
New York,Chemung County,2005,88351
New York,Chenango County,2005,50994
New York,Clinton County,2005,81690
New York,Columbia County,2005,62839
New York,Cortland County,2005,48315
New York,Delaware County,2005,46820
New York,Dutchess County,2005,291586
New York,Erie County,2005,923820
New York,Essex County,2005,38197
New York,Franklin County,2005,50305
New York,Fulton County,2005,54969
New York,Genesee County,2005,58701
New York,Greene County,2005,48917
New York,Hamilton County,2005,5128
New York,Herkimer County,2005,62873
New York,Jefferson County,2005,116982
New York,Kings County,2005,2511408
New York,Lewis County,2005,26199
New York,Livingston County,2005,63497
New York,Madison County,2005,69527
New York,Monroe County,2005,731773
New York,Montgomery County,2005,48634
New York,Nassau County,2005,1355194
New York,New York County,2005,1606275
New York,Niagara County,2005,215508
New York,Oneida County,2005,231563
New York,Onondaga County,2005,454625
New York,Ontario County,2005,103302
New York,Orange County,2005,370074
New York,Orleans County,2005,42723
New York,Oswego County,2005,121978
New York,Otsego County,2005,62474
New York,Putnam County,2005,99228
New York,Queens County,2005,2256576
New York,Rensselaer County,2005,153909
New York,Richmond County,2005,475014
New York,Rockland County,2005,294636
New York,St. Lawrence County,2005,110072
New York,Saratoga County,2005,213245
New York,Schenectady County,2005,148687
New York,Schoharie County,2005,31911
New York,Schuyler County,2005,19037
New York,Seneca County,2005,34318
New York,Steuben County,2005,97287
New York,Suffolk County,2005,1504285
New York,Sullivan County,2005,75591
New York,Tioga County,2005,50673
New York,Tompkins County,2005,99698
New York,Ulster County,2005,181305
New York,Warren County,2005,65322
New York,Washington County,2005,62070
New York,Wayne County,2005,92175
New York,Westchester County,2005,947719
New York,Wyoming County,2005,42257
New York,Yates County,2005,24618
New York,Albany County,2006,299033
New York,Allegany County,2006,49423
New York,Bronx County,2006,1371353
New York,Broome County,2006,195700
New York,Cattaraugus County,2006,80578
New York,Cayuga County,2006,80225
New York,Chautauqua County,2006,134279
New York,Chemung County,2006,88164
New York,Chenango County,2006,51097
New York,Clinton County,2006,81905
New York,Columbia County,2006,62383
New York,Cortland County,2006,48279
New York,Delaware County,2006,46413
New York,Dutchess County,2006,291471
New York,Erie County,2006,916292
New York,Essex County,2006,38156
New York,Franklin County,2006,50371
New York,Fulton County,2006,54937
New York,Genesee County,2006,58362
New York,Greene County,2006,49215
New York,Hamilton County,2006,5029
New York,Herkimer County,2006,62358
New York,Jefferson County,2006,117162
New York,Kings County,2006,2523047
New York,Lewis County,2006,26319
New York,Livingston County,2006,63254
New York,Madison County,2006,69719
New York,Monroe County,2006,730458
New York,Montgomery County,2006,48681
New York,Nassau County,2006,1351870
New York,New York County,2006,1612630
New York,Niagara County,2006,214621
New York,Oneida County,2006,231052
New York,Onondaga County,2006,453533
New York,Ontario County,2006,103455
New York,Orange County,2006,373386
New York,Orleans County,2006,42511
New York,Oswego County,2006,121592
New York,Otsego County,2006,62348
New York,Putnam County,2006,98958
New York,Queens County,2006,2264661
New York,Rensselaer County,2006,154719
New York,Richmond County,2006,478876
New York,Rockland County,2006,295927
New York,St. Lawrence County,2006,109769
New York,Saratoga County,2006,214925
